"";"variedade";"falante";"acento";"estruturafrasal";"modiladide";"repeticao";"escolaridade";"genero";"vogal";"F0";"INT";"DUR"
"47";"cameta";"BE51";"Paroxítono";"bwt";"I";3;"Fund";"F";"V2";-3,21501250869029;-1,79867349731047;2,82266233907146
"48";"cameta";"BE51";"Paroxítono";"bwt";"I";3;"Fund";"F";"V1";-3,81869460351659;-20,7986734973105;-3,42857142857143
"49";"cameta";"BE51";"Oxítono";"dwk";"A";1;"Fund";"F";"V4";-2,17726265015157;-11,7986734973105;-0,964763821237732
"50";"cameta";"BE51";"Oxítono";"dwk";"A";1;"Fund";"F";"V3";-2,49818276252163;-14,7986734973105;0,828008681888027
"51";"cameta";"BE51";"Oxítono";"dwk";"A";1;"Fund";"F";"V2";-1,88958143373048;-3,79867349731047;2,47713770957284
"52";"cameta";"BE51";"Oxítono";"dwk";"A";1;"Fund";"F";"V1";-3,14804851864686;-10,7986734973105;4,4
"53";"cameta";"BE51";"Oxítono";"dwk";"A";2;"Fund";"F";"V4";-1,34893038900474;-8,79867349731047;-1,49099863282195
"54";"cameta";"BE51";"Oxítono";"dwk";"A";2;"Fund";"F";"V3";-1,45599802725589;-10,7986734973105;0
"55";"cameta";"BE51";"Oxítono";"dwk";"A";2;"Fund";"F";"V2";-0,189227389229681;-0,798673497310475;1,80155469787115
"56";"cameta";"BE51";"Oxítono";"dwk";"A";2;"Fund";"F";"V1";-0,781639296089087;-7,79867349731047;4,25
"57";"cameta";"BE51";"Oxítono";"dwk";"A";3;"Fund";"F";"V4";-1,88978835702016;-9,79867349731047;-1,18402832606449
"58";"cameta";"BE51";"Oxítono";"dwk";"A";3;"Fund";"F";"V3";-2,14437433438053;-8,79867349731047;0,796162194123103
"59";"cameta";"BE51";"Oxítono";"dwk";"A";3;"Fund";"F";"V2";-0,0643048135746606;4,20132650268953;2,23147115986313
"60";"cameta";"BE51";"Oxítono";"dwk";"A";3;"Fund";"F";"V1";-1,08318136406182;-0,798673497310475;6,45
"61";"cameta";"BE51";"Oxítono";"dwk";"I";1;"Fund";"F";"V4";1,44386683910643;-1,79867349731047;-2,10493924633687
"62";"cameta";"BE51";"Oxítono";"dwk";"I";1;"Fund";"F";"V3";-0,118935211016885;-4,79867349731047;-0,127385951059696
"63";"cameta";"BE51";"Oxítono";"dwk";"I";1;"Fund";"F";"V2";-1,49498358094025;3,20132650268953;1,41258266083079
"64";"cameta";"BE51";"Oxítono";"dwk";"I";1;"Fund";"F";"V1";1,80462071921283;0,201326502689525;4,2
"65";"cameta";"BE51";"Oxítono";"dwk";"I";2;"Fund";"F";"V4";-0,0390345201523038;-6,79867349731047;-1,40329283089125
"66";"cameta";"BE51";"Oxítono";"dwk";"I";2;"Fund";"F";"V3";-1,69220529144017;-11,7986734973105;-0,15923243882462
"67";"cameta";"BE51";"Oxítono";"dwk";"I";2;"Fund";"F";"V2";-2,8787055722235;-0,798673497310475;1,63777699806469
"68";"cameta";"BE51";"Oxítono";"dwk";"I";2;"Fund";"F";"V1";0,123226884311308;-4,79867349731047;6,5
"69";"cameta";"BE51";"Oxítono";"dwk";"I";3;"Fund";"F";"V4";3,87512953137128;-0,798673497310475;-0,482381910618866
"70";"cameta";"BE51";"Oxítono";"dwk";"I";3;"Fund";"F";"V3";0,349931774838282;-4,79867349731047;-0,382157853179089
"71";"cameta";"BE51";"Oxítono";"dwk";"I";3;"Fund";"F";"V2";-0,515846423315073;4,20132650268953;2,12911009748409
"72";"cameta";"BE51";"Oxítono";"dwk";"I";3;"Fund";"F";"V1";1,86563788557659;1,20132650268953;7,2
"73";"cameta";"BE51";"Proparoxítono";"dwp";"A";1;"Fund";"F";"V4";-0,53845447375403;-6,79867349731047;3,57473929985767
"74";"cameta";"BE51";"Proparoxítono";"dwp";"A";1;"Fund";"F";"V3";-0,831962433408194;2,20132650268953;2,19607843137255
"75";"cameta";"BE51";"Proparoxítono";"dwp";"A";1;"Fund";"F";"V2";-4,55120434352709;-5,79867349731047;-1,01957315174768
"76";"cameta";"BE51";"Proparoxítono";"dwp";"A";1;"Fund";"F";"V1";-3,91155245900422;-12,7986734973105;1,64285714285714
"77";"cameta";"BE51";"Proparoxítono";"dwp";"A";2;"Fund";"F";"V4";-1,15373200852604;-10,7986734973105;3,48066721301931
"78";"cameta";"BE51";"Proparoxítono";"dwp";"A";2;"Fund";"F";"V3";-0,863214391532168;-0,798673497310475;1,47058823529412
"79";"cameta";"BE51";"Proparoxítono";"dwp";"A";2;"Fund";"F";"V2";-3,4502163999025;-7,79867349731047;-1,06295924331142
"80";"cameta";"BE51";"Proparoxítono";"dwp";"A";2;"Fund";"F";"V1";-3,74576118200855;-16,7986734973105;-0,928571428571429
"81";"cameta";"BE51";"Proparoxítono";"dwp";"A";3;"Fund";"F";"V4";-1,07890285674268;-7,79867349731047;4,09213577746865
"82";"cameta";"BE51";"Proparoxítono";"dwp";"A";3;"Fund";"F";"V3";-1,94440288559765;0,201326502689525;2
"83";"cameta";"BE51";"Proparoxítono";"dwp";"A";3;"Fund";"F";"V2";-5,56631675328954;-7,79867349731047;-1,06295924331142
"84";"cameta";"BE51";"Proparoxítono";"dwp";"A";3;"Fund";"F";"V1";-4,93094493483023;-16,7986734973105;0,857142857142857
"85";"cameta";"BE51";"Proparoxítono";"dwp";"I";1;"Fund";"F";"V4";-2,06561203717464;-5,79867349731047;1,83440569334801
"86";"cameta";"BE51";"Proparoxítono";"dwp";"I";1;"Fund";"F";"V3";0,880450524286867;7,20132650268953;1,64705882352941
"87";"cameta";"BE51";"Proparoxítono";"dwp";"I";1;"Fund";"F";"V2";-4,04394101153938;-2,79867349731047;-1,84390889145858
"88";"cameta";"BE51";"Proparoxítono";"dwp";"I";1;"Fund";"F";"V1";-4,53418366305586;-17,7986734973105;0,5
"89";"cameta";"BE51";"Proparoxítono";"dwp";"I";2;"Fund";"F";"V4";0,236999730746973;-4,79867349731047;2,68105447489325
"90";"cameta";"BE51";"Proparoxítono";"dwp";"I";2;"Fund";"F";"V3";-0,965036598360186;1,20132650268953;1,6078431372549
"91";"cameta";"BE51";"Proparoxítono";"dwp";"I";2;"Fund";"F";"V2";-0,138616635113905;-3,79867349731047;-1,56189929629432
"92";"cameta";"BE51";"Proparoxítono";"dwp";"I";2;"Fund";"F";"V1";-2,34377577018695;-16,7986734973105;0,0714285714285714
"93";"cameta";"BE51";"Proparoxítono";"dwp";"I";3;"Fund";"F";"V4";-0,141708952860611;-1,79867349731047;3,01030677882751
"94";"cameta";"BE51";"Proparoxítono";"dwp";"I";3;"Fund";"F";"V3";-1,70295527077752;0,201326502689525;3,13725490196078
"95";"cameta";"BE51";"Proparoxítono";"dwp";"I";3;"Fund";"F";"V2";-1,09923913036364;-1,79867349731047;-0,650791373455968
"96";"cameta";"BE51";"Proparoxítono";"dwp";"I";3;"Fund";"F";"V1";-3,3620282226834;-20,7986734973105;-4,14285714285714
"97";"cameta";"BE51";"Proparoxítono";"dyp";"A";1;"Fund";"F";"V4";-0,855571799123908;-18,7986734973105;2,21069404070145
"98";"cameta";"BE51";"Proparoxítono";"dyp";"A";1;"Fund";"F";"V3";-2,40186899534455;1,20132650268953;1,6078431372549
"99";"cameta";"BE51";"Proparoxítono";"dyp";"A";1;"Fund";"F";"V2";-4,92212490641805;-10,7986734973105;-1,41004797582126
"100";"cameta";"BE51";"Proparoxítono";"dyp";"A";1;"Fund";"F";"V1";-5,05388292262621;-16,7986734973105;-3,71428571428571
"101";"cameta";"BE51";"Proparoxítono";"dyp";"A";2;"Fund";"F";"V4";0,262225207952596;-7,79867349731047;2,35180217095899
"102";"cameta";"BE51";"Proparoxítono";"dyp";"A";2;"Fund";"F";"V3";0,958430009914286;5,20132650268953;1,74509803921569
"103";"cameta";"BE51";"Proparoxítono";"dyp";"A";2;"Fund";"F";"V2";-2,11098278320636;-3,79867349731047;-0,88941487705649
"104";"cameta";"BE51";"Proparoxítono";"dyp";"A";2;"Fund";"F";"V1";-2,70118299908817;-13,7986734973105;-2,92857142857143
"105";"cameta";"BE51";"Proparoxítono";"dyp";"A";3;"Fund";"F";"V4";0,243893425380151;-7,79867349731047;3,19845095250423
"106";"cameta";"BE51";"Proparoxítono";"dyp";"A";3;"Fund";"F";"V3";-1,78541817042662;2,20132650268953;1,66666666666667
"107";"cameta";"BE51";"Proparoxítono";"dyp";"A";3;"Fund";"F";"V2";-4,01413979359855;-9,79867349731047;-1,30158274691194
"108";"cameta";"BE51";"Proparoxítono";"dyp";"A";3;"Fund";"F";"V1";-3,81716571751916;-17,7986734973105;-2,57142857142857
"109";"cameta";"BE51";"Proparoxítono";"dyp";"I";1;"Fund";"F";"V4";-1,33178677789673;-6,79867349731047;4,56249621166045
"110";"cameta";"BE51";"Proparoxítono";"dyp";"I";1;"Fund";"F";"V3";-1,97676956112498;0,201326502689525;2,19607843137255
"111";"cameta";"BE51";"Proparoxítono";"dyp";"I";1;"Fund";"F";"V2";-0,840954960872059;-6,79867349731047;-1,95237412036791
"112";"cameta";"BE51";"Proparoxítono";"dyp";"I";1;"Fund";"F";"V1";-3,18094942779591;-12,7986734973105;-0,5
"113";"cameta";"BE51";"Proparoxítono";"dyp";"I";2;"Fund";"F";"V4";0,808374222140164;-7,79867349731047;3,15141490908505
"114";"cameta";"BE51";"Proparoxítono";"dyp";"I";2;"Fund";"F";"V3";-2,28087378761366;-0,798673497310475;1,80392156862745
"115";"cameta";"BE51";"Proparoxítono";"dyp";"I";2;"Fund";"F";"V2";2,47519254767438;-0,798673497310475;-1,3232757926938
"116";"cameta";"BE51";"Proparoxítono";"dyp";"I";2;"Fund";"F";"V1";-2,91190112114325;-9,79867349731047;-0,857142857142857
"117";"cameta";"BE51";"Proparoxítono";"dyp";"I";3;"Fund";"F";"V4";-1,21855557510812;-6,79867349731047;3,48066721301931
"118";"cameta";"BE51";"Proparoxítono";"dyp";"I";3;"Fund";"F";"V3";-1,6327687431012;1,20132650268953;1,84313725490196
"119";"cameta";"BE51";"Proparoxítono";"dyp";"I";3;"Fund";"F";"V2";-1,17994742503984;-7,79867349731047;-1,17142447222074
"120";"cameta";"BE51";"Proparoxítono";"dyp";"I";3;"Fund";"F";"V1";-3,40108019501421;-19,7986734973105;1,28571428571429
"121";"cameta";"BE51";"Oxítono";"fwk";"A";1;"Fund";"F";"V4";-1,54299049515168;-12,7986734973105;-0,0877058019307029
"122";"cameta";"BE51";"Oxítono";"fwk";"A";1;"Fund";"F";"V3";-1,68610671491195;-14,7986734973105;-0,350311365414165
"123";"cameta";"BE51";"Oxítono";"fwk";"A";1;"Fund";"F";"V2";0,300993823397249;-3,79867349731047;1,04408283626624
